"name","복지및급여","워라벨","사내문화","승진기회및가능성","경영진","기업추천율","ceo지지율","성장가능성","총점"
(주)한성아이티엘,3.4,2.8,3.3,3.4,2.8,63,53,29,3.6
왓챠,3.5,3.6,3.6,3.5,3.2,60,73,48,3.6
지식시스템(주),3.3,3.8,4.0,3.8,3.4,41,84,27,3.6
(주)액션스퀘어,3.7,4.3,3.7,3.2,3.1,68,67,42,3.6
(주)엔씨소프트,4.0,3.4,3.3,2.9,2.8,71,70,32,3.6
일렉트로닉아츠코리아(유),3.9,3.8,3.7,2.5,2.6,62,55,28,3.6
(주)큐피스트,3.8,2.6,3.5,3.7,3.2,57,77,66,3.6
(주)탈잉,3.4,3.6,3.6,3.4,3.0,55,55,50,3.5
에스케이(주),3.5,3.7,3.8,3.2,2.8,65,61,29,3.6
(주)어반베이스,3.5,4.0,3.9,3.3,3.4,67,74,63,3.6
(주)연합인포맥스,3.9,3.3,3.0,2.9,2.8,67,54,35,3.6
(주)오픈놀,3.1,3.2,3.8,3.9,3.3,60,64,56,3.6
(주)오픈메이트,2.6,3.8,3.8,3.2,3.1,65,69,29,3.6
(주)투게더스,2.8,4.5,3.5,3.1,3.0,70,61,50,3.6
넥슨지티(주),3.7,3.1,3.5,3.2,3.0,70,51,38,3.6
매드업(주),3.6,2.5,3.6,3.6,3.4,62,73,59,3.6
톰슨로이터코리아(주),3.2,4.2,3.4,2.7,2.8,62,56,28,3.6
(주)비바리퍼블리카,4.2,2.2,3.3,3.5,3.3,56,76,67,3.5
(주)스테이지파이브,3.3,4.3,3.4,3.3,2.8,58,75,46,3.5
밀버스(주),2.7,2.4,3.6,3.9,3.2,36,65,41,3.5
(주)트릿지,3.2,2.6,3.2,4.0,3.2,56,68,55,3.5
삼성에스디에스(주),3.9,3.4,3.4,3.3,2.7,65,41,30,3.5
카테노이드(주),3.1,4.0,3.3,3.5,3.5,69,69,50,3.5
지티플러스(주),3.1,3.7,3.6,3.3,2.9,60,62,16,3.5
펫박스(주),3.0,3.2,3.5,3.8,3.3,50,59,57,3.6
(주)에이모,3.2,3.8,3.5,3.2,3.2,62,85,46,3.5
(주)스마일게이트알피지,3.6,2.5,3.1,3.1,2.8,55,47,50,3.5
(주)안랩,2.8,3.8,3.7,3.3,2.6,62,52,19,3.5
(주)에스엘디티,3.1,3.3,3.3,3.1,3.2,55,76,45,3.4
(주)이노룰스,3.2,4.0,3.3,3.6,3.2,65,78,35,3.5
(주)커머스웨어,3.5,3.4,3.2,3.4,3.3,72,74,23,3.5
(주)해줌,3.1,4.1,3.7,3.0,3.0,49,57,33,3.5
비스텔(주),2.8,3.9,3.5,3.2,2.9,55,76,33,3.5
(주)소셜미디어센터,3.2,3.7,3.6,3.2,3.3,46,57,38,3.5
(주)큐빅테크,3.5,3.5,2.4,3.1,2.8,41,70,23,3.5
넷츠(주),2.6,3.4,3.4,3.8,2.7,30,47,25,3.5
엘에스산전(주),3.0,3.9,3.4,3.0,2.9,67,58,28,3.5
(주)다우데이타,3.2,3.6,2.9,3.2,2.6,61,60,20,3.4
(주)휴노,2.6,3.4,3.6,3.1,3.7,56,76,62,3.4
가비아(주),3.6,4.0,3.4,3.1,3.0,66,67,28,3.4
가비아씨엔에스,3.7,3.8,3.2,3.0,3.1,67,82,33,3.4
(주)모젯,3.8,3.2,3.5,3.4,3.1,53,73,38,3.4
(주)핸드스튜디오,3.7,2.7,3.9,3.6,3.3,54,78,43,3.4
(주)휴먼컨설팅그룹,3.0,2.5,3.3,3.3,2.8,64,62,39,3.4
라온시큐어(주),3.2,3.8,3.6,3.1,3.0,59,62,35,3.4
세틀뱅크(주),3.9,3.6,3.3,3.4,2.9,57,60,46,3.4
한국정보통신(주),3.7,3.7,2.7,2.6,2.6,62,47,16,3.4
(주)라피치,3.1,3.3,3.3,3.3,3.2,54,79,62,3.4
(주)벨아이앤에스,2.8,4.0,3.3,2.8,2.7,45,52,10,3.5
(주)다우기술,3.3,3.4,3.3,3.2,2.8,63,54,31,3.4
(주)민앤지,4.0,3.2,3.1,3.6,3.0,54,70,50,3.4
원스토어(주),3.8,3.9,3.2,2.3,2.9,54,63,25,3.4
(주)스마일게이트엔터테인먼트,3.7,3.2,3.2,3.0,2.6,59,52,31,3.4
(주)스펙트라,3.5,3.6,3.3,3.1,2.6,57,50,21,3.4
(주)케이티샛,3.3,3.7,3.0,2.8,2.1,45,30,23,3.4
디딤365(주),3.0,3.4,3.3,3.6,3.1,49,71,60,3.4
빙글,2.6,3.4,3.9,3.3,3.2,47,65,26,3.4
(주)이지로보틱스,3.4,3.1,3.8,3.0,2.4,51,37,29,3.3
(주)지란지교소프트,2.9,3.7,3.4,3.0,2.9,57,60,27,3.3
번개장터(주),2.8,4.0,3.4,3.2,3.0,57,68,51,3.3
씨에스피아이(주),2.9,3.4,3.7,3.2,2.9,56,71,24,3.3
(주)와이즈버즈,3.2,3.0,3.4,3.5,2.9,59,75,26,3.3
이롭게,2.7,3.9,3.5,2.8,3.3,54,67,40,3.3
키위플(주),3.1,3.5,3.2,3.3,2.8,45,67,23,3.3
(주)마이다스아이티,3.8,2.4,3.1,3.5,2.7,58,51,37,3.3
(주)토스랩,2.7,3.7,3.4,3.1,3.1,50,42,50,3.3
(주)파이오링크,2.8,3.8,3.4,3.4,2.8,61,63,28,3.3
네무스텍(주),2.9,3.5,3.7,3.1,2.9,45,10,41,3.3
인사커뮤니케이션(주),3.2,3.7,3.0,2.7,2.8,48,71,31,3.3
(주)에이블리코퍼레이션,3.4,2.5,3.6,3.0,3.3,50,70,65,3.3
(주)에프에스엔,3.4,3.7,3.1,3.0,2.4,53,46,15,3.3
(주)엑셈,3.4,3.4,3.0,3.2,2.5,53,53,22,3.3
(주)퀄슨,3.0,3.7,3.3,3.1,3.0,49,75,34,3.3
(주)티머니,3.7,4.1,2.8,2.9,2.3,58,35,20,3.3
(주)엑스퍼넷,3.1,2.9,3.1,3.4,3.3,61,91,21,3.3
(주)투씨에스지,3.5,3.7,3.0,3.2,3.0,43,75,19,3.3
뤼이드(주),3.3,3.5,3.1,3.5,2.9,45,57,51,3.3
(주)알티캐스트,3.2,3.4,3.6,3.0,2.4,42,30,22,3.3
한국내쇼날인스트루먼트(주),3.5,3.7,3.4,3.0,2.6,53,48,16,3.3
